Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2007-04-30,24507.7586385,15267.5166499,39775.2752884,33271.207078,20325.8490237,6189.2996097,14136.549414
2007-05-31,24537.9502378,15276.331266,39814.2815038,33318.0154592,20354.938457,6181.60472615,14173.3337309
2007-06-30,24543.6676109,15287.8107046,39831.4783155,33350.5159817,20360.2334228,6165.5071028,14194.72632
2007-07-31,24593.7592794,15301.2499855,39895.0092649,33403.5057769,20355.2511382,6158.73701994,14196.5141183
2007-08-31,24637.4677408,15311.9364035,39949.4041443,33438.4779859,20323.1336398,6147.55392183,14175.5797179
2007-09-30,24654.9603133,15325.4876528,39980.4479662,33472.8015841,20302.9971497,6150.2647781,14152.7323716
2007-10-31,24669.9671807,15320.7527403,39990.7199209,33503.913503,20276.777606,6133.08959675,14143.6880093
2007-11-30,24677.452462,15330.3807825,40007.8332446,33568.8985319,20261.8811935,6130.85245995,14131.0287335
2007-12-31,24745.258985,15354.7728996,40100.0318846,33582.7221632,20182.3980223,6085.71543805,14096.6825842
2008-01-31,24771.9721034,15376.8233294,40148.7954328,33630.4891812,20207.3531959,6070.19676515,14137.1564308
2008-02-29,24784.4060322,15368.4579744,40152.8640066,33636.6341329,20193.5085005,6052.74815684,14140.7603437
2008-03-31,24809.4857328,15372.9242585,40182.4099913,33665.0741468,20157.9158618,6043.05730143,14114.8585604
2008-04-30,24824.2246206,15357.6920211,40181.9166417,33585.7540321,20116.7590061,6017.34901656,14099.4099896
2008-05-31,24803.6133376,15329.4499125,40133.0632501,33485.2562178,20090.5648221,6026.01951103,14064.545311
2008-06-30,24822.206202,15317.0058251,40139.2120271,33433.5870121,20029.8645208,6016.31491355,14013.5496073
2008-07-31,24822.4668759,15285.4065322,40107.8734082,33343.0410002,19977.3712016,6004.17591854,13973.1952831
2008-08-31,24816.4523934,15255.5019573,40071.9543508,33248.9297372,19849.2827721,5991.35035929,13857.9324128
2008-09-30,24806.5099077,15221.1953271,40027.7052348,33128.4899926,19806.7590626,5969.59725317,13837.1618095
2008-10-31,24782.1302824,15189.0578273,39971.1881097,32979.1802386,19753.2082717,5952.3368274,13800.8714443
2008-11-30,24772.9580643,15143.6390168,39916.5970811,32829.6472743,19670.8950846,5918.01298404,13752.8821006
2008-12-31,24806.9637865,15119.659115,39926.6229015,32663.3146562,19555.1022822,5883.747644,13671.3546382
2009-01-31,24764.7684909,15049.9008508,39814.6693418,32465.6473399,19388.6168784,5832.12723042,13556.4896479
2009-02-28,24698.0219224,14957.6522751,39655.6741975,32207.3102776,19263.2806049,5795.89524152,13467.3853634
