0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
4577.0,,,,,4868.666666666667,4736.0,,2001-06-30,4577.0,4868.666666666667,4727.222222222223,,4577.0,4868.666666666667,4736.0,,,-291.66666666666697,0.9400931124195535,,
4202.666666666667,,,,,4577.0,4868.666666666667,4736.0,2001-09-30,4202.666666666667,4577.0,4596.083333333334,,4202.666666666667,4577.0,4868.666666666667,4736.0,,-374.33333333333303,0.9182142597043188,,
3459.0,4736.0,,,,4202.666666666667,4577.0,4868.666666666667,2001-12-31,3459.0,4202.666666666667,4276.833333333334,4736.0,3459.0,4202.666666666667,4577.0,4868.666666666667,4736.0,-743.666666666667,0.8230488578680203,-459.16666666666606,0.9030475788288289
3560.6666666666665,4868.666666666667,4736.0,,,3459.0,4202.666666666667,4577.0,2002-03-31,3560.6666666666665,3459.0,3949.833333333333,4802.333333333334,3560.6666666666665,3459.0,4202.666666666667,4577.0,4868.666666666667,101.66666666666652,1.0293919244482992,-852.5000000000009,0.8224821267439437
3477.6666666666665,4577.0,4868.666666666667,4736.0,,3560.6666666666665,3459.0,4202.666666666667,2002-06-30,3477.6666666666665,3560.6666666666665,3675.0,4727.222222222223,3477.6666666666665,3560.6666666666665,3459.0,4202.666666666667,4577.0,-83.0,0.9766897584721962,-1052.2222222222226,0.777412151839229
3403.0,4202.666666666667,4577.0,4868.666666666667,4736.0,3477.6666666666665,3560.6666666666665,3459.0,2002-09-30,3403.0,3477.6666666666665,3475.083333333333,4596.083333333334,3403.0,3477.6666666666665,3560.6666666666665,3459.0,4202.666666666667,-74.66666666666652,0.9785296654845204,-1121.000000000001,0.7560966765180496
3297.6666666666665,3459.0,4202.666666666667,4577.0,4868.666666666667,3403.0,3477.6666666666665,3560.6666666666665,2002-12-31,3297.6666666666665,3403.0,3434.7499999999995,4276.833333333334,3297.6666666666665,3403.0,3477.6666666666665,3560.6666666666665,3459.0,-105.33333333333348,0.9690469193848564,-842.0833333333344,0.8031058805190754
3419.0,3560.6666666666665,3459.0,4202.666666666667,4577.0,3297.6666666666665,3403.0,3477.6666666666665,2003-03-31,3419.0,3297.6666666666665,3399.333333333333,3949.833333333333,3419.0,3297.6666666666665,3403.0,3477.6666666666665,3560.6666666666665,121.33333333333348,1.0367936925098555,-550.5,0.8606270306763998
3302.3333333333335,3477.6666666666665,3560.6666666666665,3459.0,4202.666666666667,3419.0,3297.6666666666665,3403.0,2003-06-30,3302.3333333333335,3419.0,3355.5,3675.0,3302.3333333333335,3419.0,3297.6666666666665,3403.0,3477.6666666666665,-116.66666666666652,0.9658769620746808,-319.5,0.9130612244897959
3209.0,3403.0,3477.6666666666665,3560.6666666666665,3459.0,3302.3333333333335,3419.0,3297.6666666666665,2003-09-30,3209.0,3302.3333333333335,3307.0,3475.083333333333,3209.0,3302.3333333333335,3419.0,3297.6666666666665,3403.0,-93.33333333333348,0.9717371555465831,-168.08333333333303,0.9516318553511907
3192.0,3297.6666666666665,3403.0,3477.6666666666665,3560.6666666666665,3209.0,3302.3333333333335,3419.0,2003-12-31,3192.0,3209.0,3280.5833333333335,3434.7499999999995,3192.0,3209.0,3302.3333333333335,3419.0,3297.6666666666665,-17.0,0.9947023995014023,-154.16666666666606,0.9551156076376254
3413.6666666666665,3419.0,3297.6666666666665,3403.0,3477.6666666666665,3192.0,3209.0,3302.3333333333335,2004-03-31,3413.6666666666665,3192.0,3279.25,3399.333333333333,3413.6666666666665,3192.0,3209.0,3302.3333333333335,3419.0,221.66666666666652,1.0694444444444444,-120.08333333333303,0.9646744459697981
3571.0,3302.3333333333335,3419.0,3297.6666666666665,3403.0,3413.6666666666665,3192.0,3209.0,2004-06-30,3571.0,3413.6666666666665,3346.4166666666665,3355.5,3571.0,3413.6666666666665,3192.0,3209.0,3302.3333333333335,157.33333333333348,1.046089249096768,-9.083333333333485,0.9972930015397605
3765.0,3209.0,3302.3333333333335,3419.0,3297.6666666666665,3571.0,3413.6666666666665,3192.0,2004-09-30,3765.0,3571.0,3485.4166666666665,3307.0,3765.0,3571.0,3413.6666666666665,3192.0,3209.0,194.0,1.054326519182302,178.41666666666652,1.053951214595303
3560.0,3192.0,3209.0,3302.3333333333335,3419.0,3765.0,3571.0,3413.6666666666665,2004-12-31,3560.0,3765.0,3577.4166666666665,3280.5833333333335,3560.0,3765.0,3571.0,3413.6666666666665,3192.0,-205.0,0.9455511288180611,296.83333333333303,1.0904818756826782
