0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
167466.66666666666,,,,,150930.33333333334,,,1992-06-30,167466.66666666666,150930.33333333334,159198.5,,167466.66666666666,150930.33333333334,,,,16536.333333333314,1.1095626900711364,,
168290.33333333334,,,,,167466.66666666666,150930.33333333334,,1992-09-30,168290.33333333334,167466.66666666666,162229.11111111112,,168290.33333333334,167466.66666666666,150930.33333333334,,,823.6666666666861,1.0049183917197453,,
184680.0,,,,,168290.33333333334,167466.66666666666,150930.33333333334,1992-12-31,184680.0,168290.33333333334,167841.83333333334,,184680.0,168290.33333333334,167466.66666666666,150930.33333333334,,16389.666666666657,1.0973892340815772,,
157915.66666666666,150930.33333333334,,,,184680.0,168290.33333333334,167466.66666666666,1993-03-31,157915.66666666666,184680.0,169588.16666666666,150930.33333333334,157915.66666666666,184680.0,168290.33333333334,167466.66666666666,150930.33333333334,-26764.333333333343,0.8550772507400187,18657.833333333314,1.1236188440141255
180074.0,167466.66666666666,150930.33333333334,,,157915.66666666666,184680.0,168290.33333333334,1993-06-30,180074.0,157915.66666666666,172740.0,159198.5,180074.0,157915.66666666666,184680.0,168290.33333333334,167466.66666666666,22158.333333333343,1.1403175112454538,13541.5,1.0850604748160315
181468.66666666666,168290.33333333334,167466.66666666666,150930.33333333334,,180074.0,157915.66666666666,184680.0,1993-09-30,181468.66666666666,180074.0,176034.5833333333,162229.11111111112,181468.66666666666,180074.0,157915.66666666666,184680.0,168290.33333333334,1394.666666666657,1.0077449641073484,13805.47222222219,1.0850986122507125
198240.0,184680.0,168290.33333333334,167466.66666666666,150930.33333333334,181468.66666666666,180074.0,157915.66666666666,1993-12-31,198240.0,181468.66666666666,179424.5833333333,167841.83333333334,198240.0,181468.66666666666,180074.0,157915.66666666666,184680.0,16771.333333333343,1.0924199953711018,11582.74999999997,1.069009911116716
172169.66666666666,157915.66666666666,184680.0,168290.33333333334,167466.66666666666,198240.0,181468.66666666666,180074.0,1994-03-31,172169.66666666666,198240.0,182988.0833333333,169588.16666666666,172169.66666666666,198240.0,181468.66666666666,180074.0,157915.66666666666,-26070.333333333343,0.8684910546139359,13399.916666666657,1.0790144556076533
194147.33333333334,180074.0,157915.66666666666,184680.0,168290.33333333334,172169.66666666666,198240.0,181468.66666666666,1994-06-30,194147.33333333334,172169.66666666666,186506.41666666666,172740.0,194147.33333333334,172169.66666666666,198240.0,181468.66666666666,180074.0,21977.666666666686,1.1276512122731648,13766.416666666657,1.0796944347960324
196565.66666666666,181468.66666666666,180074.0,157915.66666666666,184680.0,194147.33333333334,172169.66666666666,198240.0,1994-09-30,196565.66666666666,194147.33333333334,190280.66666666666,176034.5833333333,196565.66666666666,194147.33333333334,172169.66666666666,198240.0,181468.66666666666,2418.333333333314,1.0124561758939086,14246.083333333343,1.0809277533060502
213862.33333333334,198240.0,181468.66666666666,180074.0,157915.66666666666,196565.66666666666,194147.33333333334,172169.66666666666,1994-12-31,213862.33333333334,196565.66666666666,194186.25,179424.5833333333,213862.33333333334,196565.66666666666,194147.33333333334,172169.66666666666,198240.0,17296.666666666686,1.0879943428574337,14761.666666666686,1.0822722638806
182920.33333333334,172169.66666666666,198240.0,181468.66666666666,180074.0,213862.33333333334,196565.66666666666,194147.33333333334,1995-03-31,182920.33333333334,213862.33333333334,196873.9166666667,182988.0833333333,182920.33333333334,213862.33333333334,196565.66666666666,194147.33333333334,172169.66666666666,-30942.0,0.8553181407977406,13885.833333333372,1.075883812106162
206120.33333333334,194147.33333333334,172169.66666666666,198240.0,181468.66666666666,182920.33333333334,213862.33333333334,196565.66666666666,1995-06-30,206120.33333333334,182920.33333333334,199867.16666666666,186506.41666666666,206120.33333333334,182920.33333333334,213862.33333333334,196565.66666666666,194147.33333333334,23200.0,1.1268311705824576,13360.75,1.0716369454670236
206593.66666666666,196565.66666666666,194147.33333333334,172169.66666666666,198240.0,206120.33333333334,182920.33333333334,213862.33333333334,1995-09-30,206593.66666666666,206120.33333333334,202374.1666666667,190280.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,213862.33333333334,196565.66666666666,473.33333333331393,1.0022963932072042,12093.50000000003,1.0635561153524093
221241.66666666666,213862.33333333334,196565.66666666666,194147.33333333334,172169.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,1995-12-31,221241.66666666666,206593.66666666666,204219.0,194186.25,221241.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,213862.33333333334,14648.0,1.0709024639348415,10032.75,1.0516656045420312
196503.0,182920.33333333334,213862.33333333334,196565.66666666666,194147.33333333334,221241.66666666666,206593.66666666666,206120.33333333334,1996-03-31,196503.0,221241.66666666666,207614.66666666666,196873.9166666667,196503.0,221241.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,-24738.666666666657,0.8881826057478625,10740.74999999997,1.0545564906812184
218721.66666666666,206120.33333333334,182920.33333333334,213862.33333333334,196565.66666666666,196503.0,221241.66666666666,206593.66666666666,1996-06-30,218721.66666666666,196503.0,210764.99999999997,199867.16666666666,218721.66666666666,196503.0,221241.66666666666,206593.66666666666,206120.33333333334,22218.666666666657,1.1130703687305876,10897.833333333314,1.054525380606953
217807.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,213862.33333333334,218721.66666666666,196503.0,221241.66666666666,1996-09-30,217807.66666666666,218721.66666666666,213568.49999999997,202374.1666666667,217807.66666666666,218721.66666666666,196503.0,221241.66666666666,206593.66666666666,-914.0,0.9958211730281256,11194.333333333285,1.0553150311510442
234899.0,221241.66666666666,206593.66666666666,206120.33333333334,182920.33333333334,217807.66666666666,218721.66666666666,196503.0,1996-12-31,234899.0,217807.66666666666,216982.8333333333,204219.0,234899.0,217807.66666666666,218721.66666666666,196503.0,221241.66666666666,17091.333333333343,1.0784698426593493,12763.833333333314,1.0625007141026708
207692.66666666666,196503.0,221241.66666666666,206593.66666666666,206120.33333333334,234899.0,217807.66666666666,218721.66666666666,1997-03-31,207692.66666666666,234899.0,219780.24999999997,207614.66666666666,207692.66666666666,234899.0,217807.66666666666,218721.66666666666,196503.0,-27206.333333333343,0.8841785902309787,12165.583333333314,1.0585969359903924
227294.66666666666,218721.66666666666,196503.0,221241.66666666666,206593.66666666666,207692.66666666666,234899.0,217807.66666666666,1997-06-30,227294.66666666666,207692.66666666666,221923.49999999997,210764.99999999997,227294.66666666666,207692.66666666666,234899.0,217807.66666666666,218721.66666666666,19602.0,1.094379836874356,11158.5,1.0529428510426304
229860.0,217807.66666666666,218721.66666666666,196503.0,221241.66666666666,227294.66666666666,207692.66666666666,234899.0,1997-09-30,229860.0,227294.66666666666,224936.5833333333,213568.49999999997,229860.0,227294.66666666666,207692.66666666666,234899.0,217807.66666666666,2565.333333333343,1.0112863771550586,11368.083333333343,1.053229213733923
243863.0,234899.0,217807.66666666666,218721.66666666666,196503.0,229860.0,227294.66666666666,207692.66666666666,1997-12-31,243863.0,229860.0,227177.5833333333,216982.8333333333,243863.0,229860.0,227294.66666666666,207692.66666666666,234899.0,14003.0,1.0609196902462368,10194.75,1.0469841316171709
214009.66666666666,207692.66666666666,234899.0,217807.66666666666,218721.66666666666,243863.0,229860.0,227294.66666666666,1998-03-31,214009.66666666666,243863.0,228756.8333333333,219780.24999999997,214009.66666666666,243863.0,229860.0,227294.66666666666,207692.66666666666,-29853.333333333343,0.8775815382680713,8976.583333333343,1.0408434485506926
241199.0,227294.66666666666,207692.66666666666,234899.0,217807.66666666666,214009.66666666666,243863.0,229860.0,1998-06-30,241199.0,214009.66666666666,232232.91666666666,221923.49999999997,241199.0,214009.66666666666,243863.0,229860.0,227294.66666666666,27189.333333333343,1.127047220608415,10309.416666666686,1.0464548218943315
237712.0,229860.0,227294.66666666666,207692.66666666666,234899.0,241199.0,214009.66666666666,243863.0,1998-09-30,237712.0,241199.0,234195.91666666666,224936.5833333333,237712.0,241199.0,214009.66666666666,243863.0,229860.0,-3487.0,0.985543057807039,9259.333333333343,1.0411641947971262
258064.66666666666,243863.0,229860.0,227294.66666666666,207692.66666666666,237712.0,241199.0,214009.66666666666,1998-12-31,258064.66666666666,237712.0,237746.3333333333,227177.5833333333,258064.66666666666,237712.0,241199.0,214009.66666666666,243863.0,20352.666666666657,1.0856190123622984,10568.75,1.0465219756497395
230775.33333333334,214009.66666666666,243863.0,229860.0,227294.66666666666,258064.66666666666,237712.0,241199.0,1999-03-31,230775.33333333334,258064.66666666666,241937.75,228756.8333333333,230775.33333333334,258064.66666666666,237712.0,241199.0,214009.66666666666,-27289.333333333314,0.8942538950185613,13180.916666666686,1.0576197723783844
257938.0,241199.0,214009.66666666666,243863.0,229860.0,230775.33333333334,258064.66666666666,237712.0,1999-06-30,257938.0,230775.33333333334,246122.5,232232.91666666666,257938.0,230775.33333333334,258064.66666666666,237712.0,241199.0,27162.666666666657,1.1177017763308037,13889.583333333343,1.0598088485159476
260348.33333333334,237712.0,241199.0,214009.66666666666,243863.0,257938.0,230775.33333333334,258064.66666666666,1999-09-30,260348.33333333334,257938.0,251781.58333333334,234195.91666666666,260348.33333333334,257938.0,230775.33333333334,258064.66666666666,237712.0,2410.333333333343,1.0093446228680278,17585.666666666686,1.075089552870798
279935.0,258064.66666666666,237712.0,241199.0,214009.66666666666,260348.33333333334,257938.0,230775.33333333334,1999-12-31,279935.0,260348.33333333334,257249.1666666667,237746.3333333333,279935.0,260348.33333333334,257938.0,230775.33333333334,258064.66666666666,19586.666666666657,1.0752325410187633,19502.833333333372,1.08203210985378
