0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
438.3492063492063,613.9047619047619,887.2063492063492,848.6451612903226,,427.34375,507.2950819672131,690.5,2002-09-30,515.8720095791048,783.252090800478,11.005456349206327,1.025753170250428,-267.3800812213732,0.6586283211218591
692.8709677419355,690.5,613.9047619047619,887.2063492063492,848.6451612903226,438.3492063492063,427.34375,507.2950819672131,2002-12-31,516.4647515145888,760.0640681003584,254.52176139272916,1.580636984637237,-243.59931658576966,0.6795016014970926
493.655737704918,507.2950819672131,690.5,613.9047619047619,887.2063492063492,692.8709677419355,438.3492063492063,427.34375,2003-03-31,513.054915449015,674.726548269581,-199.21523003701748,0.7124786009056501,-161.67163282056606,0.7603894003649437
446.0,427.34375,507.2950819672131,690.5,613.9047619047619,493.655737704918,692.8709677419355,438.3492063492063,2003-06-30,517.718977949015,559.7608984679937,-47.65573770491801,0.9034636203632983,-42.04192051897871,0.9248930737498046
346.34375,438.3492063492063,427.34375,507.2950819672131,690.5,446.0,493.655737704918,692.8709677419355,2003-09-30,494.7176138617134,515.8720095791048,-99.65625,0.7765554932735426,-21.154395717391367,0.9589929375415212
470.5245901639344,692.8709677419355,438.3492063492063,427.34375,507.2950819672131,346.34375,446.0,493.655737704918,2003-12-31,439.1310194672131,516.4647515145888,124.18084016393442,1.358547945975449,-77.33373204737569,0.8502632913077105
721.3387096774194,493.655737704918,692.8709677419355,438.3492063492063,427.34375,470.5245901639344,346.34375,446.0,2004-03-31,496.05176246033847,513.054915449015,250.81411951348497,1.5330520970776456,-17.003152988676504,0.9668589999302595
526.3650793650794,446.0,493.655737704918,692.8709677419355,438.3492063492063,721.3387096774194,470.5245901639344,346.34375,2004-06-30,516.1430323016083,517.718977949015,-194.97363031234,0.729705854272632,-1.5759456474066837,0.9969559824643672
647.125,346.34375,446.0,493.655737704918,692.8709677419355,526.3650793650794,721.3387096774194,470.5245901639344,2004-09-30,591.3383448016084,494.7176138617134,120.7599206349206,1.2294223636199149,96.620730939895,1.1953048127510233
376.58730158730157,470.5245901639344,346.34375,446.0,493.655737704918,647.125,526.3650793650794,721.3387096774194,2004-12-31,567.8540226574501,439.1310194672131,-270.53769841269843,0.5819390405057779,128.72300319023697,1.2931312011308458
