Date,Personal consumption expenditures (PCE),Goods,:Durable goods,:Nondurable goods,Services,:PCE excluding food and energy,:Food\1\,:Energy goods and services\2\,:Market-based PCE\3\,:Market-based PCE excluding food and energy\3\
1959-01-31,306512.0,167411.0,42295.0,125117.0,139101.0,222086.0,61876.0,22550.0,,
1959-02-28,309972.0,169596.0,44207.0,125389.0,140376.0,225900.0,61379.0,22693.0,,
1959-03-31,313110.0,172162.0,44445.0,127717.0,140947.0,229960.0,60463.0,22686.0,,
1959-04-30,312583.0,170680.0,45065.0,125615.0,141903.0,229725.0,60348.0,22510.0,,
1959-05-31,316505.0,173326.0,45359.0,127967.0,143180.0,232157.0,61562.0,22786.0,,
1959-06-30,318559.0,173845.0,45971.0,127874.0,144714.0,233673.0,61872.0,23014.0,,
1959-07-31,318147.0,172707.0,45408.0,127299.0,145440.0,233549.0,61583.0,23015.0,,
1959-08-31,320518.0,174065.0,46189.0,127876.0,146452.0,235800.0,61642.0,23075.0,,
1959-09-30,324582.0,176799.0,47410.0,129389.0,147784.0,239622.0,62080.0,22880.0,,
1959-10-31,323148.0,174543.0,44791.0,129751.0,148605.0,237466.0,62145.0,23537.0,,
1959-11-30,323215.0,173678.0,44712.0,128967.0,149537.0,237859.0,61500.0,23856.0,,
1959-12-31,323229.0,172472.0,42807.0,129665.0,150756.0,237481.0,62709.0,23038.0,,
1960-01-31,323963.0,172841.0,43229.0,129612.0,151122.0,239069.0,61630.0,23264.0,,
1960-02-29,325702.0,174113.0,45748.0,128366.0,151588.0,241190.0,61100.0,23412.0,,
1960-03-31,330520.0,178226.0,47389.0,130837.0,152294.0,243519.0,62565.0,24435.0,,
1960-04-30,336857.0,183211.0,49116.0,134095.0,153647.0,248982.0,63416.0,24459.0,,
1960-05-31,330423.0,176004.0,45730.0,130274.0,154419.0,243736.0,62755.0,23933.0,,
1960-06-30,330491.0,175972.0,44457.0,131515.0,154519.0,243616.0,62646.0,24230.0,,
1960-07-31,331764.0,177041.0,44854.0,132187.0,154723.0,244499.0,63185.0,24081.0,,
1960-08-31,332020.0,177191.0,45765.0,131426.0,154829.0,245487.0,62311.0,24222.0,,
1960-09-30,333812.0,178276.0,47149.0,131127.0,155536.0,247245.0,62041.0,24526.0,,
1960-10-31,335822.0,179281.0,46679.0,132602.0,156540.0,248950.0,62556.0,24315.0,,
1960-11-30,335797.0,178164.0,45057.0,133108.0,157633.0,247391.0,63830.0,24576.0,,
1960-12-31,331748.0,173863.0,42333.0,131530.0,157884.0,244424.0,62641.0,24683.0,,
1961-01-31,332626.0,173918.0,41606.0,132311.0,158709.0,244687.0,63488.0,24451.0,,
1961-02-28,334174.0,175209.0,41919.0,133290.0,158965.0,246230.0,63752.0,24192.0,,
1961-03-31,338131.0,177797.0,43195.0,134601.0,160334.0,250058.0,63871.0,24202.0,,
1961-04-30,338114.0,176630.0,42733.0,133897.0,161484.0,249318.0,64128.0,24668.0,,
1961-05-31,340354.0,177750.0,43457.0,134294.0,162604.0,251874.0,63808.0,24672.0,,
1961-06-30,341349.0,178313.0,43770.0,134543.0,163037.0,252667.0,63863.0,24819.0,,
1961-07-31,341060.0,178043.0,44146.0,133897.0,163017.0,253397.0,62962.0,24701.0,,
1961-08-31,342573.0,179206.0,44597.0,134609.0,163368.0,254284.0,63806.0,24483.0,,
1961-09-30,344877.0,180278.0,44996.0,135282.0,164599.0,256212.0,64034.0,24631.0,,
1961-10-31,347008.0,180935.0,45623.0,135312.0,166073.0,258856.0,63637.0,24515.0,,
1961-11-30,350398.0,183022.0,46700.0,136322.0,167376.0,261931.0,63454.0,25013.0,,
1961-12-31,352928.0,184593.0,47726.0,136867.0,168335.0,264024.0,64159.0,24745.0,,
1962-01-31,353717.0,184687.0,47525.0,137162.0,169030.0,264734.0,63849.0,25134.0,,
1962-02-28,354519.0,184768.0,47378.0,137390.0,169751.0,264629.0,64498.0,25392.0,,
1962-03-31,357923.0,187148.0,48204.0,138944.0,170776.0,267678.0,64555.0,25690.0,,
1962-04-30,359569.0,187405.0,48430.0,138975.0,172164.0,269777.0,64166.0,25626.0,,
1962-05-31,362535.0,189019.0,49568.0,139452.0,173516.0,272385.0,64609.0,25541.0,,
1962-06-30,360941.0,186951.0,49142.0,137809.0,173990.0,271131.0,64326.0,25484.0,,
1962-07-31,361905.0,187343.0,49161.0,138182.0,174561.0,272215.0,64309.0,25380.0,,
1962-08-31,363426.0,188221.0,49001.0,139221.0,175205.0,272971.0,64868.0,25587.0,,
1962-09-30,369301.0,193015.0,50538.0,142477.0,176286.0,277573.0,65812.0,25916.0,,
1962-10-31,367099.0,190011.0,49029.0,140982.0,177088.0,275711.0,65086.0,26303.0,,
1962-11-30,372223.0,193759.0,52087.0,141672.0,178463.0,280616.0,65073.0,26533.0,,
1962-12-31,374131.0,195299.0,53523.0,141776.0,178832.0,282439.0,64725.0,26966.0,,
1963-01-31,374878.0,195821.0,53063.0,142758.0,179058.0,282120.0,65438.0,27321.0,,
1963-02-28,373843.0,194273.0,52407.0,141867.0,179569.0,281445.0,65047.0,27350.0,,
1963-03-31,375439.0,195047.0,52298.0,142749.0,180392.0,283350.0,65243.0,26846.0,,
1963-04-30,376783.0,195351.0,53213.0,142137.0,181433.0,285445.0,64934.0,26404.0,,
1963-05-31,377643.0,195830.0,53450.0,142381.0,181813.0,285661.0,65304.0,26678.0,,
1963-06-30,382125.0,198873.0,54981.0,143892.0,183252.0,290206.0,65797.0,26122.0,,
1963-07-31,384851.0,200155.0,55459.0,144695.0,184697.0,291915.0,66520.0,26416.0,,
1963-08-31,386733.0,200558.0,54064.0,146493.0,186175.0,292649.0,66941.0,27142.0,,
1963-09-30,385935.0,198891.0,54580.0,144311.0,187044.0,293225.0,65588.0,27122.0,,
1963-10-31,386466.0,198120.0,54170.0,143950.0,188346.0,293774.0,66157.0,26536.0,,
1963-11-30,389894.0,200579.0,55612.0,144966.0,189315.0,296547.0,66851.0,26496.0,,
1963-12-31,395159.0,204356.0,57435.0,146921.0,190803.0,300891.0,66620.0,27647.0,,
1964-01-31,397299.0,205136.0,57938.0,147198.0,192163.0,302643.0,67358.0,27298.0,,
1964-02-29,400700.0,207387.0,58442.0,148945.0,193312.0,305763.0,67435.0,27501.0,,
1964-03-31,402351.0,207415.0,57605.0,149810.0,194936.0,306632.0,68150.0,27569.0,,
1964-04-30,403369.0,207572.0,58152.0,149420.0,195797.0,307400.0,68215.0,27753.0,,
1964-05-31,408979.0,211951.0,59664.0,152287.0,197028.0,312354.0,69116.0,27509.0,,
1964-06-30,411907.0,213273.0,60613.0,152660.0,198634.0,314478.0,69346.0,28084.0,,
1964-07-31,415470.0,215957.0,61643.0,154315.0,199513.0,317112.0,70188.0,28170.0,,
1964-08-31,418303.0,217679.0,62144.0,155536.0,200623.0,319106.0,70563.0,28634.0,,
1964-09-30,417190.0,215127.0,60346.0,154781.0,202063.0,318127.0,70441.0,28622.0,,
