0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
75.13333333333333,67.96666666666667,91.73333333333333,108.43333333333332,102.13333333333333,85.59999999999998,94.13333333333333,61.43333333333334,1991-12-31,79.07499999999999,92.56666666666666,-13.491666666666674,0.8542491897731364
79.39999999999999,61.43333333333334,67.96666666666667,91.73333333333333,108.43333333333332,75.13333333333333,85.59999999999998,94.13333333333333,1992-03-31,83.56666666666665,82.39166666666667,1.174999999999983,1.0142611510063717
103.39999999999999,94.13333333333333,61.43333333333334,67.96666666666667,91.73333333333333,79.39999999999999,75.13333333333333,85.59999999999998,1992-06-30,85.88333333333331,78.81666666666666,7.066666666666649,1.0896595474730384
97.76666666666667,85.59999999999998,94.13333333333333,61.43333333333334,67.96666666666667,103.39999999999999,79.39999999999999,75.13333333333333,1992-09-30,88.925,77.28333333333333,11.641666666666666,1.1506361871899935
84.33333333333333,75.13333333333333,85.59999999999998,94.13333333333333,61.43333333333334,97.76666666666667,103.39999999999999,79.39999999999999,1992-12-31,91.225,79.07499999999999,12.150000000000006,1.15365159658552
79.76666666666667,79.39999999999999,75.13333333333333,85.59999999999998,94.13333333333333,84.33333333333333,97.76666666666667,103.39999999999999,1993-03-31,91.31666666666666,83.56666666666665,7.750000000000014,1.0927403270841645
108.93333333333334,103.39999999999999,79.39999999999999,75.13333333333333,85.59999999999998,79.76666666666667,84.33333333333333,97.76666666666667,1993-06-30,92.69999999999999,85.88333333333331,6.816666666666677,1.0793712400543374
109.3,97.76666666666667,103.39999999999999,79.39999999999999,75.13333333333333,108.93333333333334,79.76666666666667,84.33333333333333,1993-09-30,95.58333333333333,88.925,6.658333333333331,1.0748758316933746
101.73333333333333,84.33333333333333,97.76666666666667,103.39999999999999,79.39999999999999,109.3,108.93333333333334,79.76666666666667,1993-12-31,99.93333333333334,91.225,8.708333333333343,1.0954599433634786
96.26666666666667,79.76666666666667,84.33333333333333,97.76666666666667,103.39999999999999,101.73333333333333,109.3,108.93333333333334,1994-03-31,104.05833333333334,91.31666666666666,12.741666666666674,1.13953276145282
132.6,108.93333333333334,79.76666666666667,84.33333333333333,97.76666666666667,96.26666666666667,101.73333333333333,109.3,1994-06-30,109.97500000000001,92.69999999999999,17.27500000000002,1.1863538295577132
124.5,109.3,108.93333333333334,79.76666666666667,84.33333333333333,132.6,96.26666666666667,101.73333333333333,1994-09-30,113.775,95.58333333333333,18.191666666666677,1.1903225806451614
103.89999999999999,101.73333333333333,109.3,108.93333333333334,79.76666666666667,124.5,132.6,96.26666666666667,1994-12-31,114.31666666666666,99.93333333333334,14.383333333333326,1.1439292861907937
89.96666666666665,96.26666666666667,101.73333333333333,109.3,108.93333333333334,103.89999999999999,124.5,132.6,1995-03-31,112.74166666666667,104.05833333333334,8.683333333333337,1.0834467846560423
120.60000000000001,132.6,96.26666666666667,101.73333333333333,109.3,89.96666666666665,103.89999999999999,124.5,1995-06-30,109.74166666666666,109.97500000000001,-0.2333333333333485,0.9978783056755322
124.39999999999999,124.5,132.6,96.26666666666667,101.73333333333333,120.60000000000001,89.96666666666665,103.89999999999999,1995-09-30,109.71666666666665,113.775,-4.058333333333351,0.9643301838423788
109.13333333333333,103.89999999999999,124.5,132.6,96.26666666666667,124.39999999999999,120.60000000000001,89.96666666666665,1995-12-31,111.02499999999999,114.31666666666666,-3.2916666666666714,0.9712057151188219
101.56666666666668,89.96666666666665,103.89999999999999,124.5,132.6,109.13333333333333,124.39999999999999,120.60000000000001,1996-03-31,113.925,112.74166666666667,1.183333333333323,1.0104959716165274
137.33333333333334,120.60000000000001,89.96666666666665,103.89999999999999,124.5,101.56666666666668,109.13333333333333,124.39999999999999,1996-06-30,118.10833333333333,109.74166666666666,8.366666666666674,1.07623965373225
128.4333333333333,124.39999999999999,120.60000000000001,89.96666666666665,103.89999999999999,137.33333333333334,101.56666666666668,109.13333333333333,1996-09-30,119.11666666666666,109.71666666666665,9.400000000000006,1.0856752240619778
107.86666666666667,109.13333333333333,124.39999999999999,120.60000000000001,89.96666666666665,128.4333333333333,137.33333333333334,101.56666666666668,1996-12-31,118.8,111.02499999999999,7.775000000000006,1.0700292726863319
100.76666666666665,101.56666666666668,109.13333333333333,124.39999999999999,120.60000000000001,107.86666666666667,128.4333333333333,137.33333333333334,1997-03-31,118.6,113.925,4.674999999999997,1.0410357691463683
134.13333333333333,137.33333333333334,101.56666666666668,109.13333333333333,124.39999999999999,100.76666666666665,107.86666666666667,128.4333333333333,1997-06-30,117.79999999999998,118.10833333333333,-0.30833333333335133,0.997389402384816
131.36666666666667,128.4333333333333,137.33333333333334,101.56666666666668,109.13333333333333,134.13333333333333,100.76666666666665,107.86666666666667,1997-09-30,118.53333333333333,119.11666666666666,-0.5833333333333286,0.9951028403525956
114.10000000000001,107.86666666666667,128.4333333333333,137.33333333333334,101.56666666666668,131.36666666666667,134.13333333333333,100.76666666666665,1997-12-31,120.09166666666667,118.8,1.2916666666666714,1.0108726150392817
114.83333333333333,100.76666666666665,107.86666666666667,128.4333333333333,137.33333333333334,114.10000000000001,131.36666666666667,134.13333333333333,1998-03-31,123.60833333333333,118.6,5.00833333333334,1.0422287802136032
145.96666666666667,134.13333333333333,100.76666666666665,107.86666666666667,128.4333333333333,114.83333333333333,114.10000000000001,131.36666666666667,1998-06-30,126.56666666666668,117.79999999999998,8.766666666666694,1.0744199207696663
