Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1885-08-31,4.71,0.2633,0.2833,7.992232066,3.4325,145.01378375016,8.1066091850141,8.7223789673927,15.130410796707
1885-09-30,4.65,0.2575,0.28,7.897091074,3.42,144.89128677611,8.0235497515803,8.7246366230776,15.116285028724
1885-10-31,4.92,0.2517,0.2767,7.897091074,3.4075,153.30432923408,7.8428251358166,8.6218105485914,15.991023962169
1885-11-30,5.24,0.2458,0.2733,7.992232066,3.395,161.33168298319,7.5678106254329,8.4144940762034,16.824034498619
1885-12-31,5.2,0.24,0.27,8.18251405,3.3825,156.37706115518,7.2174028225469,8.1195781753653,16.304475952279
1886-01-31,5.2,0.2383,0.275,7.992232066,3.37,160.10014341843,7.3368969570409,8.4668345077056,16.692317470798
1886-02-28,5.3,0.2367,0.28,7.992232066,3.3825,163.17899233033,7.2876353744506,8.6207769533002,17.006648259461
1886-03-31,5.19,0.235,0.285,7.897091074,3.395,161.71737169205,7.322462880083,8.8804337056326,16.84326610157
1886-04-30,5.12,0.2333,0.29,7.801941983,3.4075,161.48184679471,7.3581474330479,9.1464327286065,16.801716131246
1886-05-31,5.02,0.2317,0.295,7.611651901,3.42,162.28607680256,7.490375297839,9.536731604931,16.863195515098
1886-06-30,5.25,0.23,0.3,7.51650281,3.4325,171.86994672327,7.5295405231146,9.8211398127582,17.831494055377
1886-07-31,5.33,0.2283,0.305,7.611651901,3.445,172.30772696367,7.3804604251042,9.8600106423863,17.845845041532
1886-08-31,5.37,0.2267,0.31,7.706792893,3.4575,171.45772642991,7.2382619332703,9.8979320657865,17.723912799619
1886-09-30,5.51,0.225,0.315,7.706792893,3.47,175.92776026608,7.1839829509741,10.057576131364,18.1471439258
1886-10-31,5.65,0.2233,0.32,7.706792893,3.4825,180.39779410224,7.1297039686778,10.217220196941,18.562381342867
1886-11-30,5.79,0.2217,0.325,7.706792893,3.495,184.8678279384,7.0786178676931,10.376864262518,18.968312634943
1886-12-31,5.64,0.22,0.33,7.801941983,3.5075,177.88234685979,6.9386731044601,10.40800965669,18.194057556886
1887-01-31,5.58,0.2225,0.3325,7.992232066,3.52,171.79976928363,6.8504388289618,10.237172632044,17.512222096305
