Date,Gross domestic product,Personal consumption expenditures,:Goods,::Durable goods,::Nondurable goods,:Services,Gross private domestic investment,:Fixed investment,::Nonresidential,:::Structures,:::Equipment,:::Intellectual property products,::Residential,:Change in private inventories,Net exports of goods and services,:Exports,::Goods,::Services,:Imports,::Goods,::Services,Government consumption expenditures and gross investment,:Federal,::National defense,::Nondefense,:State and local
1947-03-31,243080.0,156288.0,95593.0,20721.0,74872.0,60695.0,35856.0,35361.0,24820.0,7889.0,14927.0,2004.0,10541.0,495.0,10875.0,18394.0,15728.0,2666.0,7519.0,5612.0,1907.0,40061.0,26636.0,22488.0,4148.0,13425.0
1947-06-30,246267.0,160158.0,98250.0,21352.0,76898.0,61908.0,34504.0,35744.0,25171.0,7947.0,15226.0,1998.0,10573.0,-1240.0,11294.0,19497.0,16732.0,2765.0,8203.0,6292.0,1911.0,40311.0,26476.0,21184.0,5292.0,13835.0
1947-09-30,250115.0,163667.0,100418.0,21770.0,78648.0,63249.0,34909.0,37826.0,25360.0,8280.0,15044.0,2036.0,12466.0,-2917.0,11770.0,19433.0,16792.0,2641.0,7663.0,5828.0,1835.0,39769.0,25316.0,20272.0,5044.0,14453.0
1947-12-31,260309.0,167797.0,103453.0,23487.0,79966.0,64344.0,43249.0,41793.0,26539.0,8432.0,16067.0,2040.0,15254.0,1456.0,9289.0,17636.0,15136.0,2500.0,8347.0,6160.0,2187.0,39974.0,24824.0,20728.0,4096.0,15150.0
1948-03-31,266173.0,170500.0,105094.0,23548.0,81546.0,65406.0,47200.0,43574.0,28229.0,8833.0,17334.0,2062.0,15345.0,3626.0,7293.0,16917.0,14576.0,2341.0,9624.0,7340.0,2284.0,41180.0,25516.0,20880.0,4636.0,15664.0
1948-06-30,272897.0,174272.0,107188.0,24019.0,83169.0,67084.0,50333.0,44474.0,28047.0,9327.0,16658.0,2062.0,16427.0,5859.0,5205.0,15241.0,13004.0,2237.0,10036.0,7644.0,2392.0,43087.0,26656.0,20652.0,6004.0,16431.0
1948-09-30,279497.0,177204.0,108743.0,25277.0,83466.0,68461.0,52513.0,45361.0,29078.0,9854.0,17130.0,2094.0,16283.0,7152.0,4949.0,15405.0,13128.0,2277.0,10456.0,7708.0,2748.0,44831.0,27504.0,20760.0,6744.0,17327.0
1948-12-31,280656.0,178060.0,108656.0,24970.0,83686.0,69404.0,51332.0,45335.0,30158.0,10090.0,17998.0,2070.0,15177.0,5997.0,4501.0,14625.0,12352.0,2273.0,10124.0,7536.0,2588.0,46763.0,28732.0,21600.0,7132.0,18031.0
1949-03-31,275370.0,176966.0,107167.0,24435.0,82732.0,69799.0,43137.0,42749.0,28580.0,9736.0,16826.0,2018.0,14169.0,388.0,6478.0,16082.0,13676.0,2406.0,9604.0,7164.0,2440.0,48789.0,30220.0,22524.0,7696.0,18569.0
1949-06-30,271692.0,178583.0,108283.0,26389.0,81894.0,70300.0,36239.0,41387.0,27474.0,9377.0,16090.0,2007.0,13913.0,-5148.0,6283.0,15647.0,13168.0,2479.0,9364.0,6852.0,2512.0,50587.0,31288.0,22820.0,8468.0,19299.0
1949-09-30,273262.0,177945.0,107569.0,27314.0,80255.0,70376.0,39547.0,40854.0,26110.0,8915.0,15176.0,2019.0,14744.0,-1307.0,5179.0,14115.0,11884.0,2231.0,8936.0,6620.0,2316.0,50591.0,30536.0,22632.0,7904.0,20055.0
1949-12-31,270984.0,180390.0,109305.0,28356.0,80949.0,71085.0,37462.0,42161.0,25623.0,8684.0,14836.0,2103.0,16538.0,-4699.0,2999.0,12091.0,10124.0,1967.0,9092.0,6860.0,2232.0,50133.0,29840.0,21660.0,8180.0,20293.0
1950-03-31,281209.0,183065.0,110800.0,29335.0,81465.0,72265.0,46747.0,44723.0,26384.0,9075.0,15130.0,2179.0,18339.0,2024.0,2203.0,11704.0,9624.0,2080.0,9501.0,7184.0,2317.0,49194.0,28608.0,20948.0,7660.0,20586.0
1950-06-30,290735.0,186953.0,112588.0,29800.0,82788.0,74365.0,52288.0,49455.0,28852.0,9502.0,17114.0,2236.0,20603.0,2833.0,1643.0,11872.0,9752.0,2120.0,10229.0,7808.0,2421.0,49851.0,28952.0,21004.0,7948.0,20899.0
1950-09-30,308510.0,200653.0,123988.0,37355.0,86633.0,76665.0,58643.0,54466.0,31911.0,10269.0,19343.0,2299.0,22555.0,4177.0,-740.0,12293.0,10180.0,2113.0,13033.0,10464.0,2569.0,49954.0,28444.0,22744.0,5700.0,21510.0
1950-12-31,320320.0,198090.0,119943.0,33292.0,86651.0,78147.0,68438.0,54394.0,32916.0,10982.0,19609.0,2325.0,21478.0,14044.0,-154.0,13531.0,11256.0,2275.0,13685.0,10868.0,2817.0,53946.0,31816.0,26124.0,5692.0,22130.0
1951-03-31,336372.0,209356.0,127605.0,35638.0,91967.0,81751.0,64583.0,54197.0,33140.0,11467.0,19383.0,2290.0,21057.0,10386.0,177.0,15043.0,12508.0,2535.0,14866.0,11772.0,3094.0,62256.0,39596.0,33596.0,6000.0,22660.0
1951-06-30,344455.0,205090.0,122182.0,30736.0,91446.0,82908.0,67379.0,52587.0,34120.0,12151.0,19672.0,2297.0,18467.0,14792.0,1943.0,17121.0,14308.0,2813.0,15178.0,12040.0,3138.0,70043.0,46624.0,40320.0,6304.0,23419.0
1951-09-30,351774.0,207758.0,123363.0,30192.0,93171.0,84395.0,61976.0,52236.0,34838.0,12280.0,20198.0,2360.0,17398.0,9740.0,3742.0,18052.0,15096.0,2956.0,14310.0,10808.0,3502.0,78298.0,54340.0,48132.0,6208.0,23958.0
1951-12-31,356579.0,211733.0,125844.0,30390.0,95454.0,85889.0,57081.0,52362.0,34639.0,11918.0,20242.0,2479.0,17723.0,4719.0,4190.0,18180.0,15060.0,3120.0,13990.0,10084.0,3906.0,83575.0,59348.0,52928.0,6420.0,24227.0
1952-03-31,360195.0,213094.0,125538.0,30776.0,94762.0,87556.0,58130.0,53398.0,35129.0,12029.0,20418.0,2682.0,18269.0,4732.0,3721.0,18679.0,15416.0,3263.0,14958.0,10696.0,4262.0,85250.0,60920.0,53528.0,7392.0,24330.0
1952-06-30,361414.0,217227.0,127606.0,31006.0,96600.0,89621.0,53000.0,54523.0,35760.0,12075.0,20821.0,2864.0,18763.0,-1523.0,1951.0,16581.0,13440.0,3141.0,14630.0,10604.0,4026.0,89236.0,64092.0,57020.0,7072.0,25144.0
1952-09-30,368084.0,219715.0,127941.0,29467.0,98474.0,91774.0,57216.0,51642.0,32888.0,12150.0,17671.0,3067.0,18754.0,5574.0,-4.0,15246.0,12400.0,2846.0,15250.0,10768.0,4482.0,91157.0,66168.0,58704.0,7464.0,24989.0
1952-12-31,381241.0,227856.0,134054.0,33723.0,100331.0,93802.0,60738.0,55464.0,35817.0,12642.0,19867.0,3308.0,19647.0,5274.0,-1013.0,15329.0,12540.0,2789.0,16342.0,11284.0,5058.0,93660.0,68108.0,60540.0,7568.0,25552.0
1953-03-31,388472.0,231463.0,135702.0,35185.0,100517.0,95761.0,61659.0,57769.0,37787.0,13061.0,21245.0,3481.0,19982.0,3890.0,-667.0,15128.0,12132.0,2996.0,15795.0,10988.0,4807.0,96017.0,69652.0,61340.0,8312.0,26365.0
1953-06-30,392259.0,233224.0,135575.0,35019.0,100556.0,97649.0,62117.0,58540.0,38467.0,13499.0,21306.0,3662.0,20073.0,3577.0,-1251.0,15196.0,12308.0,2888.0,16447.0,11516.0,4931.0,98169.0,71932.0,62004.0,9928.0,26237.0
1953-09-30,391696.0,233949.0,134420.0,34577.0,99843.0,99529.0,61433.0,59102.0,39612.0,13749.0,22125.0,3738.0,19490.0,2331.0,-552.0,15755.0,12864.0,2891.0,16307.0,11152.0,5155.0,96866.0,69964.0,60980.0,8984.0,26902.0
1953-12-31,386521.0,233411.0,133641.0,33682.0,99959.0,99770.0,56445.0,58451.0,39200.0,13971.0,21446.0,3783.0,19251.0,-2006.0,-335.0,15172.0,12344.0,2828.0,15507.0,10244.0,5263.0,97000.0,69516.0,60300.0,9216.0,27484.0
