Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2008-02-29,29055.275132043,18282.2873023,47337.5624344,42023.6146507,26556.2496258,8318.25726976,18237.9923561
2008-03-31,29054.537579862,18267.0733927,47321.6109726,42017.7625667,26486.0264607,8306.36970446,18179.6567562
2008-04-30,29044.468577817,18226.51507,47270.9836478,41880.2786759,26379.2455933,8246.77671882,18132.4688745
2008-05-31,28987.520079312,18172.6126048,47160.1326841,41708.0283675,26298.7978029,8217.56431326,18081.2334896
2008-06-30,28984.539717892,18143.0704473,47127.6101652,41610.3575818,26181.3800326,8170.35320214,18011.0268305
2008-07-31,28961.952214201,18092.3354053,47054.2876195,41458.3880477,26065.817993,8123.89554808,17941.9224449
2008-08-31,28935.201445735,18042.7058863,46977.907332,41305.2194686,25873.2891441,8078.69859368,17794.5905504
2008-09-30,28913.330912137,17988.3752286,46901.7061407,41123.2461251,25785.1160157,8028.79879155,17756.3172242
2008-10-31,28840.555445023,17921.7174194,46762.2728644,40876.7554583,25667.3539481,7977.03602935,17690.3179188
2008-11-30,28790.18432138,17837.4335053,46627.6178267,40595.5124021,25500.4744221,7900.46023677,17600.0141853
2008-12-31,28794.917075687,17771.1316322,46566.0487079,40294.1856335,25300.4416426,7827.13388257,17473.30776
2009-01-31,28729.578657635,17667.3314108,46396.9100685,39982.712433,25074.5026955,7737.23282839,17337.2698672
2009-02-28,28622.221410421,17535.7401374,46157.9615478,39590.1060836,24860.1115269,7648.42454375,17211.6869831
2009-03-31,28569.731238611,17438.0615867,46007.7928254,39281.4163753,24679.0907994,7563.44366833,17115.647131
2009-04-30,28498.131412681,17347.8704964,45846.001909,39031.4408512,24528.6984454,7506.59833967,17022.1001058
2009-05-31,28448.559556358,17268.4761583,45717.0357146,38861.7221494,24385.1336297,7470.13266408,16915.0009656
2009-06-30,28423.396731629,17194.2551143,45617.651846,38713.2143624,24255.7365036,7432.78859958,16822.947904
2009-07-31,28416.780678805,17154.9770239,45571.7577027,38644.6444611,24202.4821262,7427.40725488,16775.0748714
2009-08-31,28400.468139453,17119.0647759,45519.5329154,38603.7196032,24032.1012321,7413.36543765,16618.7357944
2009-09-30,28401.15498562,17086.7960896,45487.9510753,38578.4362271,23959.0267285,7390.88869914,16568.1380293
2009-10-31,28371.085248155,17053.8700896,45424.9553377,38524.869038,23894.6215519,7372.03208975,16522.5894621
2009-11-30,28346.666696627,17020.7383155,45367.4050121,38456.2012426,23857.7184424,7357.10323358,16500.6152089
2009-12-31,28330.317162529,16981.7941158,45312.1112784,38353.2731627,23872.0216331,7362.2922743,16509.7293588
2010-01-31,28296.757153653,16979.2771571,45276.0343108,38372.7797192,23866.587852,7359.86342131,16506.7244307
2010-02-28,28250.968623799,16943.669799,45194.6384228,38378.8297932,23826.1927754,7363.98812513,16462.2046503
2010-03-31,28245.046029872,16931.8591407,45176.9051705,38379.6366174,23822.9582121,7364.72225442,16458.2359576
2010-04-30,28253.452688252,16953.4184304,45206.8711186,38446.3736024,23916.1518614,7375.76430683,16540.3875546
2010-05-31,28231.969142932,16959.8353879,45191.8045308,38478.0122606,24033.304373,7375.57948398,16657.7248891
2010-06-30,28220.330727602,16967.9083433,45188.2390709,38517.7918128,24115.8678946,7392.55712887,16723.3107657
2010-07-31,28203.601233704,16975.4166091,45179.0178429,38541.7318104,24217.1752217,7401.39459882,16815.7806229
2010-08-31,28199.751245095,16986.6817527,45186.4329978,38578.4293039,24278.6020971,7410.80711811,16867.794979
2010-09-30,28196.147144359,17005.8298153,45201.9769596,38617.839576,24366.4325349,7420.98008721,16945.4524477
2010-10-31,28263.756748674,17057.827419,45321.5841677,38810.1840637,24215.289668,7460.26296331,16755.0267047
2010-11-30,28254.397041611,17059.0240969,45313.4211385,38838.7887751,24331.3273104,7474.89233389,16856.4349765
2010-12-31,28251.388370335,17078.721248,45330.1096183,38933.1715528,24311.2556689,7491.28254297,16819.9731259
2011-01-31,28244.276487155,17082.9397962,45327.2162833,38962.4045709,24407.9342953,7491.86213078,16916.0721645
2011-02-28,28274.059521305,17116.8369836,45390.8965049,39026.5835288,24471.2753407,7496.71636143,16974.5589792
2011-03-31,28321.982999508,17153.749412,45475.7324115,39094.7562014,24532.8113871,7506.78815753,17026.0232296
2011-04-30,28425.034383923,17216.1456809,45641.1800648,39225.6402989,24584.5898673,7534.26090586,17050.3289614
2011-05-31,28491.329425691,17239.7769519,45731.1063776,39329.5224747,24599.348199,7552.49506493,17046.8531341
2011-06-30,28553.679684843,17280.309164,45833.9888488,39380.5641803,24678.1897222,7560.33404534,17117.8556769
2011-07-31,28623.858371137,17307.5259537,45931.3843248,39437.8211683,24711.1675478,7561.90968023,17149.2578676
2011-08-31,28690.586147681,17347.9249241,46038.5110718,39480.9388228,24770.2694188,7566.23880599,17204.0306129
2011-09-30,28736.049087115,17373.0478141,46109.0969012,39542.931279,24840.8269569,7574.35175197,17266.4752049
2011-10-31,28772.849774783,17401.3027057,46174.1524804,39585.6080745,24885.4575037,7582.34524986,17303.1122538
2011-11-30,28816.955695238,17427.9643862,46244.9200815,39629.5230923,24929.5669668,7602.25358695,17327.3133798
2011-12-31,28875.801660352,17474.3115196,46350.11318,39707.0440486,24982.3142836,7612.02246379,17370.2918198
2012-01-31,28964.060781329,17516.9571763,46481.0179577,39776.3888128,25021.4292412,7633.13235478,17388.2968864
2012-02-29,29046.162625668,17574.2097001,46620.3723257,39886.4812963,25050.3304818,7631.90615665,17418.4243252
2012-03-31,29110.735615991,17620.8422744,46731.5778904,39973.0418244,25109.9802852,7638.97961358,17471.0006716
2012-04-30,29126.917295536,17650.6232557,46777.5405513,40017.1409768,25147.4486477,7646.03792115,17501.4107266
2012-05-31,29153.554456984,17677.1313324,46830.6857894,40068.1177243,25191.5739817,7656.0081184,17535.5658633
2012-06-30,29171.435767813,17697.497038,46868.9328058,40079.5284597,25181.4785444,7647.391581,17534.0869634
2012-07-31,29204.427478306,17735.045133,46939.4726113,40157.2939604,25196.3713004,7652.20448267,17544.1668177
2012-08-31,29243.254415998,17775.0408401,47018.2952561,40221.8466309,25226.4151702,7660.13463371,17566.2805365
2012-09-30,29260.449513498,17811.8846834,47072.3341969,40293.41865,25241.8028596,7664.28424564,17577.5186139
2012-10-31,29320.026582655,17858.8162257,47178.8428084,40381.8307697,25300.8787303,7675.40523459,17625.4734957
2012-11-30,29338.934933562,17868.7694655,47207.7043991,40428.3696379,25355.8353592,7671.43227219,17684.403087
2012-12-31,29409.899347032,17925.0139152,47334.9132622,40553.2263476,25329.247421,7683.80830168,17645.4391193
2013-01-31,29471.176184281,17981.1117579,47452.2879421,40629.0815451,25357.7440507,7655.89147984,17701.8525709
2013-02-28,29519.293706134,18017.7457927,47537.0394988,40710.17233,25383.4821376,7670.45773439,17713.0244032
2013-03-31,29564.125889658,18052.0644163,47616.190306,40784.0670163,25429.6426777,7687.08851862,17742.5541591
2013-04-30,29582.99024232,18072.3132892,47655.3035316,40834.6041153,25445.7782991,7699.60035291,17746.1779462
2013-05-31,29628.900333928,18115.2639939,47744.1643278,40920.9102832,25476.8601649,7725.59929262,17751.2608723
2013-06-30,29691.574620404,18161.6508135,47853.2254339,41028.5927476,25515.2227755,7747.45097502,17767.7718005
2013-07-31,29720.820526615,18186.4438291,47907.2643557,41104.9046407,25549.9365217,7764.99058601,17784.9459357
2013-08-31,29758.003462995,18229.603087,47987.60655,41208.2301661,25559.9107095,7786.50232153,17773.408388
2013-09-30,29813.153517469,18273.5291736,48086.682691,41289.0128319,25615.8094657,7798.32188102,17817.4875847
2013-10-31,29843.015083224,18299.2570246,48142.2721078,41336.8243949,25681.9213871,7810.95967048,17870.9617166
2013-11-30,29869.629353127,18347.8368812,48217.4662343,41422.7327866,25712.9539655,7819.5639366,17893.3900289
2013-12-31,29837.328314358,18363.7827701,48201.1110845,41544.9841722,25772.9010803,7863.45809298,17909.4429873
2014-01-31,29907.110863192,18433.3644445,48340.4753077,41684.2715064,25730.6020093,7886.49553796,17844.1064713
2014-02-28,29937.245626432,18473.6030951,48410.8487215,41780.4688859,25754.7556066,7900.4352521,17854.3203545
2014-03-31,29956.640035324,18504.3211487,48460.961184,41860.0431577,25838.2956582,7927.57522914,17910.7204291
2014-04-30,30010.973343445,18556.8364976,48567.8098411,41993.8285241,25928.119949,7955.65235971,17972.4675893
2014-05-31,30042.976128625,18596.3619555,48639.3380841,42074.3850459,26000.9066156,7958.98142711,18041.9251885
2014-06-30,30066.152004018,18638.7774795,48704.9294835,42167.2539832,26077.9024288,7966.04848886,18111.8539399
2014-07-31,30104.188152998,18695.8468655,48800.0350185,42283.1613902,26141.7466553,7977.33644571,18164.4102096
2014-08-31,30114.348892295,18726.3893444,48840.7382367,42349.2222385,26191.3540346,7972.57456555,18218.779469
2014-09-30,30165.808674769,18781.0787099,48946.8873847,42440.471464,26246.5441799,7986.67152522,18259.8726547
2014-10-31,30180.767908667,18821.3217322,49002.0896409,42561.3437788,26270.8073677,8007.63862809,18263.1687396
2014-11-30,30211.971908192,18867.5219892,49079.4938974,42653.1077546,26342.4713409,8020.38206542,18322.0892755
2014-12-31,30217.607787681,18917.8590331,49135.4668208,42763.5346295,26460.1141155,8031.67102647,18428.443089
2015-01-31,30233.050381318,18960.8940552,49193.9444365,42868.1407042,26508.9810129,8052.98114969,18455.9998632
2015-02-28,30259.37867762,19012.1441827,49271.5228603,42939.5288193,26574.1065766,8059.94905562,18514.157521
2015-03-31,30280.624194023,19046.4519333,49327.0761274,43012.4003741,26632.3234985,8062.79866487,18569.5248337
2015-04-30,30323.51731575,19088.6805833,49412.197899,43067.3960116,26671.1400712,8068.5379897,18602.6020815
2015-05-31,30384.078658088,19142.4614223,49526.5400804,43125.1576793,26733.4682492,8071.31773426,18662.1505149
2015-06-30,30436.68622616,19198.6566652,49635.3428913,43184.2234777,26820.5077548,8098.72940704,18721.7783478
2015-07-31,30481.262283344,19247.6650735,49728.9273569,43245.3265301,26922.2920568,8116.75894658,18805.5331103
2015-08-31,30505.981177373,19273.8912971,49779.8724745,43270.0174093,26978.9013984,8123.75267136,18855.1487271
2015-09-30,30528.782480567,19308.7396147,49837.5220953,43320.899541,27049.4637277,8130.28658256,18919.1771452
2015-10-31,30569.327909245,19357.6807446,49927.0086538,43357.1626387,27107.4999672,8142.3677287,18965.1322385
2015-11-30,30614.474872642,19392.2681506,50006.7430232,43387.6850259,27204.3224239,8159.46079696,19044.8616269
2015-12-31,30666.709404745,19452.434294,50119.1436988,43458.3946044,27258.8051163,8192.94829371,19065.8568225
2016-01-31,30684.626513389,19489.5942831,50174.2207964,43561.9227939,27283.9449096,8194.43033548,19089.5145741
2016-02-29,30728.41769944,19534.7329139,50263.1506133,43618.8945873,27392.8123994,8212.59951103,19180.2128883
2016-03-31,30776.841054539,19577.0878896,50353.9289442,43677.2966406,27475.2744153,8231.33547506,19243.9389402
2016-04-30,30823.062062744,19606.3441623,50429.4062251,43679.1292406,27506.6034343,8248.88964472,19257.7137896
2016-05-31,30831.496658393,19617.4808061,50448.9774645,43692.032804,27531.8381315,8255.2788517,19276.5592798
2016-06-30,30896.708360936,19676.9458107,50573.6541716,43789.1683776,27568.2612508,8254.12127884,19314.139972
2016-07-31,30935.080038167,19723.4607183,50658.5407565,43867.7276891,27634.1590544,8276.97911342,19357.179941
2016-08-31,30961.324339782,19750.1129158,50711.4372556,43907.6359905,27681.918454,8286.72402568,19395.1944283
2016-09-30,30995.015064617,19769.8554256,50764.8704902,43989.822838,27763.2854718,8291.54219837,19471.7432734
2016-10-31,30987.951876552,19776.6503228,50764.6021993,44005.1622536,27809.884647,8290.32966393,19519.5549831
2016-11-30,31006.69939852,19806.4300126,50813.1294112,44097.4399184,27895.4904705,8309.33553312,19586.1549374
2016-12-31,31014.779589963,19839.2796672,50854.0592571,44181.7101942,27971.2787487,8324.73473699,19646.5440117
2017-01-31,31057.993897625,19878.039194,50936.0330917,44284.8229997,28054.5917419,8342.76232807,19711.8294138
2017-02-28,31102.659820629,19924.7575801,51027.4174007,44379.1353572,28117.4605211,8369.49108775,19747.9694334
2017-03-31,31165.992254665,19986.9524156,51152.9446703,44480.2187605,28145.862943,8376.95559738,19768.9073456
2017-04-30,31185.385497344,20004.8135525,51190.1990498,44572.9145113,28164.0103124,8412.75996845,19751.250344
2017-05-31,31232.189652555,20020.4589323,51252.6485849,44683.2984743,28224.6661573,8444.81627025,19779.8498871
2017-06-30,31259.475305978,20052.471538,51311.946844,44763.21689,28277.6603093,8461.74505829,19815.915251
2017-07-31,31284.442874947,20076.4874368,51360.9303118,44847.8792877,28345.2266216,8485.09149825,19860.1351233
2017-08-31,31302.177864251,20106.6295136,51408.8073779,44921.9920171,28459.8667736,8507.22730566,19952.6394679
