Month,1-19,20-49,1-49,50-499,500+,500-999,"1,000+"
2005-01-31,4170.58925547,2897.12256048,7067.71181595,8186.31490034,6734.6081403,2236.5753999,4498.0327404
2005-02-28,4189.58350428,2907.48244007,7097.06594435,8200.11728944,6759.5039865,2239.2045032,4520.2994833
2005-03-31,4198.26941607,2908.93983619,7107.20925227,8199.61397391,6759.17677382,2237.65402723,4521.52274659
2005-04-30,4225.52919402,2923.60712393,7149.13631795,8226.18560558,6777.78822204,2241.53369758,4536.25452445
2005-05-31,4237.78436747,2926.35805999,7164.14242746,8237.88250362,6775.85262298,2247.5401416,4528.31248139
2005-06-30,4254.70367869,2939.35222617,7194.05590486,8247.74762637,6772.89466103,2255.71854328,4517.17611775
2005-07-31,4281.35081482,2955.89552699,7237.24634182,8281.13055018,6787.92622991,2268.4903561,4519.43587381
2005-08-31,4276.85848643,2952.28394101,7229.14242744,8279.6615816,6787.72683866,2272.04264549,4515.68419318
2005-09-30,4251.63467777,2938.99026483,7190.6249426,8268.27738699,6784.08106712,2276.69161433,4507.38945279
2005-10-31,4247.95778873,2935.56429376,7183.52208249,8271.96466027,6772.18928691,2277.0045848,4495.18470211
2005-11-30,4277.57083593,2953.20406987,7230.7749058,8313.70930863,6772.49274577,2282.46116043,4490.03158534
2005-12-31,4290.98154506,2962.29631939,7253.27786445,8337.58308614,6779.62383601,2288.14461964,4491.47921637
2006-01-31,4305.09051432,2975.87884221,7280.96935653,8336.38902037,6813.35546495,2322.83262974,4490.52283521
2006-02-28,4348.44647525,2998.64713957,7347.09361482,8366.63357608,6817.25058647,2329.32425172,4487.92633475
2006-03-31,4355.92929151,3001.18417867,7357.11347018,8386.72591956,6828.16061027,2336.25948769,4491.90112257
2006-04-30,4357.36367361,3001.61275495,7358.97642856,8399.06508716,6818.13101032,2340.21062544,4477.92038488
2006-05-31,4367.29369304,3008.13881387,7375.43250691,8428.17763942,6799.01258143,2338.96478332,4460.04779811
2006-06-30,4364.53667834,3003.11101556,7367.6476939,8432.49762035,6767.46127133,2332.20882762,4435.25244371
2006-07-31,4353.77122053,2998.45208996,7352.22331049,8451.1730798,6729.85856964,2328.82055635,4401.03801328
2006-08-31,4359.67309253,3000.96846061,7360.64155314,8477.17385341,6706.25688157,2321.99072277,4384.2661588
2006-09-30,4352.7635776,2993.65009378,7346.41367138,8481.32106806,6676.59049118,2316.437436,4360.15305518
2006-10-31,4363.20963913,2994.52055519,7357.73019433,8495.18215462,6647.56243025,2306.00248002,4341.55995023
2006-11-30,4335.32584431,2981.65534274,7316.98118706,8483.23836299,6608.85236378,2293.86249469,4314.98986909
2006-12-31,4343.9290362,2983.01112021,7326.94015642,8502.77369436,6566.44302435,2280.51968684,4285.92333752
2007-01-31,4364.91335246,2992.31928442,7357.23263688,8514.67883475,6564.03176759,2282.84971397,4281.18205362
2007-02-28,4369.29800111,2988.23279307,7357.53079418,8530.04002038,6527.81803761,2273.43926303,4254.37877459
2007-03-31,4360.62503555,2990.15282797,7350.77786352,8541.58944879,6498.63268769,2267.7929558,4230.83973188
2007-04-30,4370.36766607,2995.31151846,7365.67918452,8553.64805177,6484.63684887,2268.69664889,4215.94019998
2007-05-31,4348.1555813,2983.47567178,7331.63125308,8527.03283634,6470.18561516,2269.36314509,4200.82247007
2007-06-30,4343.09040776,2977.57438991,7320.66479767,8516.85220708,6459.66971784,2271.65822722,4188.01149062
2007-07-31,4334.00578505,2965.66606459,7299.67184963,8500.25942575,6462.29358153,2272.0600615,4190.23352003
2007-08-31,4327.32620482,2956.20854262,7283.53474745,8478.98977541,6450.25743504,2273.32943275,4176.92800229
2007-09-30,4311.80319902,2947.00870139,7258.81190041,8449.36573684,6431.12625378,2265.53370559,4165.59254819
2007-10-31,4311.56348514,2943.8151954,7255.37868054,8431.95207179,6416.24032638,2265.42400079,4150.81632559
2007-11-30,4309.05511741,2939.51068562,7248.56580303,8433.73929519,6415.97168911,2266.93374946,4149.03793965
2007-12-31,4301.56280071,2932.84674465,7234.40954537,8402.05926638,6413.53834528,2272.74983575,4140.78850953
